ad_id,period,budget,target_CPA,conversion,CPA,budget_used,win_rate,spend,total_win,trajectory_length,CPA_violation
39801836,20260207,10.45719,1.15,3.74633019,1.0395319692843197,0.37241649047210573,0.020152542372881357,3.89443,1189,72,-0.09605915714406978
40094971,20260207,12.32876712328767,1.53,5.453421629999999,1.5977326880555174,0.7067300333333334,0.00809462915601023,8.71311,1266,72,0.0442697307552401
43248022,20260207,6.674759999999999,1.18,7.7514149399999965,0.7036341161217725,0.8171320017498758,0.0017424456368257553,5.45416,1234,72,-0.4036999015917182
46398308,20260207,19.791010000000004,1.49,24.211410569999995,0.5822147354547961,0.7122547055455986,0.028636436726161764,14.09624,17809,72,-0.6092518553994657
46573939,20260207,432.71963,80.19,3.0510733199999986,28.255768039032258,0.19922927924485423,0.016314056475982077,86.21042,78283,72,-0.647639755093749
48623756,20260207,146.44096,1.33,36.671605389999996,0.8267388263363945,0.20703114756964172,0.010991220617388841,30.317839999999997,3881,72,-0.3783918598974478
49311445,20260207,431.8523599999999,1.8,279.38898144000007,1.1955223798678374,0.7734490092864145,0.001249592395332062,334.01577999999995,25292,72,-0.3358209000734237
49847522,20260207,937.1593,1.84,756.1369726700001,1.1993375443575636,0.9676726891575423,0.005254064794397732,906.86346,43366,72,-0.34818611719697634
49902302,20260207,13.933519999999998,5.21,2.9056562999999986,2.7783705870511954,0.5793934339635642,0.013377313024335098,8.07299,89933,72,-0.46672349576752487
49990380,20260207,24.52830188679245,1.48,8.081450539999999,0.6440873422706117,0.21221036923076925,0.0027495668399306946,5.205159999999999,2063,72,-0.5648058498171542
50103278,20260207,969.91004,1.21,753.3561821700011,0.6609873148789418,0.513407284659101,0.008279768686716683,497.95888,38515,72,-0.45372949183558525
50250900,20260207,29.41176470588235,1.1,1.5846344299999995,1.1556040720382432,0.062261140000000006,0.020882800608828005,1.83121,5488,72,0.05054915639840284
51094622,20260207,377.10074,304.69,3.0487181499999987,143.902347942528,1.1633965502162633,0.02253535021374548,438.71770000000004,20559,72,-0.5277089896533264
51225207,20260207,105.26315789473684,2.7,4.752202259999999,3.2378546110114437,0.14617593,0.024762986572629864,15.38694,73031,72,0.1992054114857198
51225953,20260207,54.45402,1.07,16.520339259999997,0.5183937124545469,0.1572710334333443,0.0007935552881401257,8.56404,1187,72,-0.5155198949022927
51316356,20260207,1083.6785099999995,6.0,160.74719046,3.742855152107397,0.5551955164267309,0.005450919945194754,601.65345,22279,72,-0.37619080798210053
51711872,20260207,117.17214,1.34,105.96849434999996,0.566520930284408,0.5123519123231854,0.02908206725573708,60.033370000000005,45749,72,-0.5772231863549194
51815043,20260207,131.59317,7.1,23.005162579999997,4.60826780212218,0.8056189390376416,0.04486819103559192,106.01395,898324,72,-0.3509481968842
51865028,20260207,10.87915,6.1,1.495436169999999,4.134726793454517,0.5683550645041202,0.00098258057786586,6.1832199999999995,2826,72,-0.3221759354992595
51867779,20260207,240.31079,6.1,60.62360383999997,3.105365865362584,0.7833958267125666,0.005096781268849043,188.25847,9295,72,-0.4909236286290845
51981983,20260207,9.803921568627452,7.0,1.8845103699999983,1.7240287194599002,0.33139289999999993,0.028914285714285715,3.24895,3036,72,-0.7537101829342999
52099940,20260207,736.6481200000002,5.0,182.11165715999994,2.6855808553227716,0.6639202174302703,0.017040194963024256,489.07558,527210,72,-0.46288382893544566
