ad_id,period,budget_real,target_CPA_real,conversion_real,conversion_model,CPA_real,CPA_model,spend_real,spend_model,total_win_real,total_win_model,win_rate_real,win_rate_model,budget_used_real,budget_used_model,CPA_violation_real,CPA_violation_model
40094971,20260207,12.32876712328767,1.53,5.453421629999999,2.516413189996554,1.5977326880555174,4.8993392549705135,8.71311,12.328766822814943,1266,18,0.00809462915601023,1.0,0.7067300333333334,0.9999999226464208,0.0442697307552401,2.2021825794677725
46573939,20260207,432.71963,80.19,3.0510733199999986,0.3544492949296298,28.255768039032258,1220.81894471459,86.21042,432.7196350097659,78283,656,0.016314056475982077,0.5598238609187515,0.19922927924485423,1.0000000000000009,-0.647639755093749,14.224079156334058
49311445,20260207,431.8523599999999,1.8,279.38898144000007,75.71071691254132,1.1955223798678374,5.7039791440875485,334.01577999999995,431.8523559570313,25292,128,0.001249592395332062,1.0,0.7734490092864145,1.0,-0.3358209000734237,2.168877386217443
49847522,20260207,937.1593,1.84,756.1369726700001,204.13924810219464,1.1993375443575636,4.590784505573736,906.86346,937.1593017578124,43366,148,0.005254064794397732,1.0,0.9676726891575423,1.0,-0.34818611719697634,1.494991533855657
51225207,20260207,105.26315789473684,2.7,4.752202259999999,7.819110052936049,3.2378546110114437,13.462292579415468,15.38694,105.26316070556643,73031,73,0.024762986572629864,1.0,0.14617593,1.0000000000000002,0.1992054114857198,3.986034200615863
51225953,20260207,54.45402,1.07,16.520339259999997,21.07128292251163,0.5183937124545469,2.5842763855353468,8.56404,54.45402145385742,1187,19,0.0007935552881401257,1.0,0.1572710334333443,1.0,-0.5155198949022927,1.415211456871462
51711872,20260207,117.17214,1.34,105.96849434999996,34.29401569215964,0.566520930284408,3.4166934448246424,60.033370000000005,117.1721420288087,45749,175,0.02908206725573708,1.0,0.5123519123231854,1.0000000000000009,-0.5772231863549194,1.549771163967797
51867779,20260207,240.31079,6.1,60.62360383999997,19.23067893312704,3.105365865362584,12.49621915872367,188.25847,240.31079101562491,9295,51,0.005096781268849043,1.0,0.7833958267125666,0.9999999999999998,-0.4909236286290845,1.0485605498507589
52697878,20260207,256.73525,1.7,146.14289968,41.94854421577891,1.186323867800787,6.120242279896631,173.37281000000002,256.7352600097656,17489,150,0.025940373776327498,1.0,0.6752980356222996,1.0,-0.30216243070541937,2.6001424166049785
53375682,20260207,125.0,2.2,2.064560029999999,2.577951443993145,0.611452310253241,48.48809383247579,1.26238,124.99999999999994,5055,99,0.0009694122159363314,1.0,0.01009904,0.9999999999999996,-0.7220671317030724,21.04004217342031
53854143,20260207,571.02984,1.09,366.8150784600001,233.0393020479121,0.7371172721011375,2.450358539194585,270.38573,571.0298461914061,23132,155,0.012759666832147389,1.0,0.47350543011902846,0.9999999999999998,-0.32374562192556194,1.2480352882186352
54547571,20260207,31.747280000000007,6.5,5.582730409999998,1.2720192653125664,2.2236090744707844,24.95815592454302,12.413809999999998,31.747280120849613,1179,3,0.0020264695771742866,1.0,0.3910196401077508,0.9999999399208844,-0.6579062962352639,2.839716296083542
55113470,20260207,420.4162162162162,3.33,34.42696216,28.922155847825877,2.352422488618438,14.536129911059858,80.98676,420.4162292480464,17313,511,0.001576675439634996,1.0,0.1926347197757692,0.9999999999999988,-0.2935668202347033,3.365204277507061
55199224,20260207,78.07889,6.5,6.828174149999999,2.695960573808504,6.8187481715005775,28.961424635275268,46.5596,78.0788879394531,41439,57,0.009419024889191954,1.0,0.5963148297830566,0.9999999999999996,0.04903818023085808,3.455603790042349
